sintomas,especialidad
Desde ayer tengo dolor testicular agudo desde hace 3 días.,Urología
Cambios en hábito intestinal con pérdida de peso caquectizante.,Oncología
"Me duele todo el cuerpo, sumado a me siento decaído y sin fuerzas.",Medicina General
Ayúdeme con me dio un soponcio y me caí constante.,Cardiología
"Se rompió la cabeza en la caída, acompañado de se está hinchando todo y no respira.",Emergencias
Paciente refiere que me tiemblan las manos desde esta mañana.,Endocrinología
Ayúdeme con le dio el ataque y se sacudió desde hace 3 días.,Neurología
"Dispepsia funcional, también refiere colitis ulcerosa.",Gastroenterología
Siento que adenopatías generalizadas intermitente.,Infectología
Se queja de el guagua está hirviendo en fiebre desde esta mañana.,Pediatría
Se queja de la presión no me baja con nada intermitente.,Nefrología
Paciente refiere que estoy tosiendo sangre desde hace 3 días.,Neumología
Me arde para orinar y voy a cada rato y además tengo problemas de potencia sexual.,Urología
Acude por presentar vértigo periférico hace una semana.,Neurología
Paciente refiere que se tomó un veneno de inicio súbito.,Emergencias
Acude por presentar la orina sale con mucha espuma constante.,Nefrología
"Doctor, tengo me baja la regla muy fuerte y a deshora desde esta mañana.",Ginecología
Paciente refiere que intolerancia a la vía oral desde esta mañana.,Pediatría
Alucinaciones auditivas con crisis de ansiedad generalizada.,Psiquiatría
Indica tener la luz me molesta muchísimo constante.,Oftalmología
Manifiesta me palpita feo el corazón intermitente.,Cardiología
"Estoy tosiendo sangre, acompañado de me chilla el pecho al respirar.",Neumología
Presenta erupción exantemática y dice que todo lo que come lo vomita.,Pediatría
Indica tener la presión no me baja con nada hace una semana.,Nefrología
Presenta hipertensión resistente y dice que la orina sale con mucha espuma.,Nefrología
"Cefalea tensional holocraneal, acompañado de vértigo periférico.",Neurología
Desde ayer tengo ideación suicida desde esta mañana.,Psiquiatría
Presento ictericia marcada de inicio súbito.,Gastroenterología
Manifiesta dermatitis de contacto desde esta mañana.,Alergología
Desde ayer tengo le dio el ataque y se sacudió desde hace 3 días.,Neurología
"Quemadura de segundo grado, sumado a herida cortopunzante profusa.",Emergencias
"Doctor, tengo me duele la cintura bajito que no pasa.",Traumatología
"Doctor, tengo algia lumbar mecánica que no pasa.",Traumatología
"Leucorrea fétida, también refiere dismenorrea incapacitante.",Ginecología
"Rechinar los dientes al dormir, sumado a me duele la muela horrible.",Odontología
Paciente refiere que palpitaciones taquicárdicas hace una semana.,Cardiología
Me da tengo un descenso que huele mal que no pasa.,Ginecología
Ayúdeme con tengo un descenso que huele mal constante.,Ginecología
Se queja de hipertensión resistente de inicio súbito.,Nefrología
Palpitaciones taquicárdicas y además síncope vasovagal.,Cardiología
Manifiesta epigastralgia urente hace una semana.,Gastroenterología
"Doctor, tengo estoy orinando sangre desde hace 3 días.",Urología
Me enronché después de tomar la pastilla y además me pica la nariz y los ojos.,Alergología
Me arde para orinar y voy a cada rato y además estoy orinando sangre.,Urología
Me da gingivorragia de inicio súbito.,Odontología
Ayúdeme con veo mosquitas volando desde hace 3 días.,Oftalmología
Siento que tengo una fiebre que no se me va constante.,Infectología
Se queja de estoy con calentura y cuerpo cortado desde hace 3 días.,Infectología
"Doctor, tengo tengo la presión por las nubes desde hace 3 días.",Cardiología
"Quemadura de segundo grado, acompañado de anafilaxia.",Emergencias
Tengo palpitaciones taquicárdicas que no pasa.,Cardiología
"Migraña con aura, sumado a crisis convulsiva tónico-clónica.",Neurología
Acude por presentar me arde la boca del estómago de inicio súbito.,Gastroenterología
Ayúdeme con dismenorrea incapacitante desde esta mañana.,Ginecología
Tengo mal aliento con rechinar los dientes al dormir.,Odontología
Desde ayer tengo paso con frío todo el tiempo de inicio súbito.,Endocrinología
Se queja de me duele la barriga un poco constante.,Medicina General
La orina sale con mucha espuma y siente amanecí con los ojos hinchados.,Nefrología
Indica tener parestesias en hemicuerpo desde esta mañana.,Neurología
Tengo tos ferina de inicio súbito.,Pediatría
"Doctor, tengo me duele la barriga un poco constante.",Medicina General
Acude por presentar dolor poliarticular de inicio súbito.,Reumatología
Indica tener dolor musculoesquelético difuso desde hace 3 días.,Medicina General
Indica tener halitosis intermitente.,Odontología
"Tengo tos de perro con flema, también refiere me ahogo cuando estoy durmiendo.",Neumología
Tengo disnea paroxística nocturna de inicio súbito.,Neumología
Siento que ánimo depresivo persistente desde esta mañana.,Psiquiatría
"Irritabilidad y llanto constante, sumado a tos ferina.",Pediatría
Se me regresa la comida agria con me arde la boca del estómago.,Gastroenterología
Hay presencia de polidipsia y poliuria desde esta mañana.,Endocrinología
Presenta artralgias matutinas y dice que me duelen todas las uniones.,Reumatología
"Dolor en fosa renal, sumado a edema periorbitario.",Nefrología
Indica tener tengo tos de perro con flema desde hace 3 días.,Neumología
Estoy amarillo como patito y siente me cae mal todo lo que como.,Gastroenterología
Dolor abdominal inespecífico con astenia y adinamia.,Medicina General
Me da ya no hago del baño como antes intermitente.,Oncología
Acude por presentar tengo ganas de quitarme la vida hace una semana.,Psiquiatría
Desde ayer tengo tengo sarpullido que pica mucho hace una semana.,Dermatología
Se queja de parestesias en hemicuerpo desde esta mañana.,Neurología
Presento dolor poliarticular que no pasa.,Reumatología
Acude por presentar tengo ganas de quitarme la vida constante.,Psiquiatría
Paciente refiere que prurito vulvar desde esta mañana.,Ginecología
"Halitosis, acompañado de gingivorragia.",Odontología
Se queja de disminución de la agudeza visual desde esta mañana.,Oftalmología
"Doctor, tengo insomnio de conciliación constante.",Psiquiatría
Tengo halitosis desde hace 3 días.,Odontología
Ayúdeme con miodesopsias desde esta mañana.,Oftalmología
Indica tener me siento muy nervioso y con miedo que no pasa.,Psiquiatría
Me salió un lunar raro con se me está cayendo el pelo por parches.,Dermatología
"Tengo las piernas hinchadas como tamal, sumado a tengo la presión por las nubes.",Cardiología
"Doctor, tengo rigidez articular desde esta mañana.",Reumatología
Ayúdeme con sudo demasiado sin hacer nada desde hace 3 días.,Endocrinología
Dermatitis de contacto y siente rinitis alérgica estacional.,Alergología
Hay presencia de dolor pleurítico constante.,Neumología
Siento que cefalea tensional holocraneal hace una semana.,Neurología
Desde ayer tengo rinitis alérgica estacional intermitente.,Alergología
Paciente refiere que se me están enchuecando los dedos que no pasa.,Reumatología
"Mojo la cama de sudor en la noche, sumado a tengo bolas en el cuello y axilas.",Infectología
"Edema en miembros inferiores, también refiere dolor precordial opresivo.",Cardiología
"Mastalgia cíclica, acompañado de dismenorrea incapacitante.",Ginecología
"Masa palpable no dolorosa, sumado a pérdida de peso caquectizante.",Oncología
Manifiesta fractura expuesta desde esta mañana.,Traumatología
Paciente refiere que tengo tos de perro con flema hace una semana.,Neumología
Se queja de tengo mal aliento constante.,Odontología
Se queja de dolor poliarticular que no pasa.,Reumatología
Indica tener polidipsia y poliuria constante.,Endocrinología
Paciente refiere que ya no veo bien las letras de lejos desde esta mañana.,Oftalmología
Dolor pleurítico y además sibilancias espiratorias.,Neumología
Indica tener me duele todo el cuerpo desde esta mañana.,Medicina General
Se queja de me estoy secando de lo flaco desde esta mañana.,Oncología
Tengo paso estornudando todo el día intermitente.,Alergología
"Distensión abdominal, sumado a epigastralgia urente.",Gastroenterología
Siento que oliguria hace una semana.,Nefrología
"Me vienen unos cólicos que me tumban, también refiere me duelen los senos antes de la menstruación.",Ginecología
Me da tengo un descenso que huele mal desde hace 3 días.,Ginecología
Me da intolerancia al frío desde esta mañana.,Endocrinología
Me da dermatitis de contacto desde esta mañana.,Alergología
Fenómeno de raynaud y siente dolor poliarticular.,Reumatología
"Insomnio de conciliación, acompañado de alucinaciones auditivas.",Psiquiatría
Desde ayer tengo se tomó un veneno desde esta mañana.,Emergencias
"Deformidad articular, acompañado de artralgias matutinas.",Reumatología
Hay presencia de limitación funcional articular constante.,Traumatología
Desde ayer tengo tengo una fiebre que no se me va de inicio súbito.,Infectología
Tengo fotofobia que no pasa.,Oftalmología
Hay presencia de se cortó feo y sale mucha sangre intermitente.,Emergencias
Crisis de ansiedad generalizada y siente ánimo depresivo persistente.,Psiquiatría
Indica tener algia lumbar mecánica constante.,Traumatología
Se quemó con agua hirviendo con se tomó un veneno.,Emergencias
Desde ayer tengo traumatismo craneoencefálico constante.,Emergencias
Dismenorrea incapacitante y además prurito vulvar.,Ginecología
Se queja de dolor musculoesquelético difuso de inicio súbito.,Medicina General
Sangrado uterino anormal y siente leucorrea fétida.,Ginecología
"Ánimo depresivo persistente, también refiere ideación suicida.",Psiquiatría
Desde ayer tengo irritabilidad y llanto constante constante.,Pediatría
Angina de pecho estable y además dolor precordial opresivo.,Cardiología
"Doctor, tengo me duele full el oído derecho que no pasa.",Otorrinolaringología
Se queja de me siento muy nervioso y con miedo desde esta mañana.,Psiquiatría
Siento que intolerancia a la vía oral intermitente.,Pediatría
Indica tener me tiemblan las manos que no pasa.,Endocrinología
Tengo la cara llena de granos feos con tengo hongos en la piel.,Dermatología
Indica tener tengo problemas de potencia sexual de inicio súbito.,Urología
Se queja de edema periorbitario desde esta mañana.,Nefrología
Indica tener me enronché después de tomar la pastilla de inicio súbito.,Alergología
Acude por presentar disfunción eréctil que no pasa.,Urología
Desde ayer tengo crisis convulsiva tónico-clónica que no pasa.,Neurología
Se tomó un veneno y siente se cortó feo y sale mucha sangre.,Emergencias
Ayúdeme con cefalea tensional holocraneal de inicio súbito.,Neurología
Ayúdeme con edema periorbitario hace una semana.,Nefrología
Acude por presentar me duele la cintura bajito desde esta mañana.,Traumatología
"No puedo mover la rodilla ni un poquito, también refiere tengo el cuello tieso por el frenazo.",Traumatología
Acude por presentar gingivorragia desde hace 3 días.,Odontología
Ayúdeme con dermatitis atópica constante.,Dermatología
Acude por presentar fotofobia hace una semana.,Oftalmología
"Doctor, tengo se cortó feo y sale mucha sangre de inicio súbito.",Emergencias
Desde ayer tengo reflujo gastroesofágico constante.,Gastroenterología
Desde ayer tengo adenopatías generalizadas que no pasa.,Infectología
"Me duele la cintura bajito, acompañado de no puedo mover la rodilla ni un poquito.",Traumatología
Desde ayer tengo tos ferina que no pasa.,Pediatría
Lesiones herpéticas con sudoración nocturna.,Infectología
Epistaxis anterior con vértigo posicional.,Otorrinolaringología
Manifiesta estoy amarillo como patito desde hace 3 días.,Gastroenterología
Se queja de tengo sarpullido que pica mucho constante.,Dermatología
Migraña con aura y siente parestesias en hemicuerpo.,Neurología
Manifiesta ánimo depresivo persistente de inicio súbito.,Psiquiatría
Dolor pleurítico y siente tos productiva con esputo.,Neumología
Hay presencia de tengo la presión por las nubes intermitente.,Cardiología
Tengo crisis convulsiva tónico-clónica constante.,Neurología
Acude por presentar el guagua está hirviendo en fiebre desde esta mañana.,Pediatría
Me da herida cortopunzante profusa desde hace 3 días.,Emergencias
"Me duele la muela horrible, también refiere tengo un nacido en la encía.",Odontología
Indica tener dismenorrea incapacitante hace una semana.,Ginecología
Hay presencia de tengo hongos en la piel intermitente.,Dermatología
Presento no puedo ni tragar del dolor de garganta hace una semana.,Otorrinolaringología
Se está hinchando todo y no respira con se quemó con agua hirviendo.,Emergencias
"Tengo hongos en la piel, sumado a se me está cayendo el pelo por parches.",Dermatología
Paciente refiere que tengo un descenso que huele mal que no pasa.,Ginecología
Hay presencia de amanezco tieso de inicio súbito.,Reumatología
Desde ayer tengo rechinar los dientes al dormir constante.,Odontología
Siento que me duele la espalda baja a los lados desde hace 3 días.,Nefrología
Siento que me ahogo cuando estoy durmiendo intermitente.,Neumología
Presenta disnea de esfuerzo y dice que tengo las piernas hinchadas como tamal.,Cardiología
"Prurito vulvar, acompañado de dismenorrea incapacitante.",Ginecología
Manifiesta ya no veo bien las letras de lejos que no pasa.,Oftalmología
Ayúdeme con reacción a medicamentos hace una semana.,Alergología
Acude por presentar leucorrea fétida intermitente.,Ginecología
Se queja de ya no veo bien las letras de lejos desde hace 3 días.,Oftalmología
Manifiesta paso estornudando todo el día constante.,Alergología
Acude por presentar tengo bolas en el cuello y axilas desde hace 3 días.,Infectología
Me da bruxismo hace una semana.,Odontología
"Me cae mal todo lo que como, acompañado de se me regresa la comida agria.",Gastroenterología
Estoy amarillo como patito con tengo el colon inflamado.,Gastroenterología
Paciente refiere que diaforesis excesiva de inicio súbito.,Endocrinología
"Edema angioneurótico, también refiere reacción a medicamentos.",Alergología
Acude por presentar odontalgia severa que no pasa.,Odontología
Paciente refiere que se está hinchando todo y no respira intermitente.,Emergencias
Manifiesta hipoacusia súbita que no pasa.,Otorrinolaringología
Ayúdeme con distensión abdominal desde esta mañana.,Gastroenterología
Se queja de siento hormigueo en medio cuerpo desde hace 3 días.,Neurología
Me da se me atranca la comida al pasar desde hace 3 días.,Oncología
Indica tener se me salió el hueso desde hace 3 días.,Traumatología
Indica tener paso estornudando todo el día intermitente.,Alergología
Siento que otalgia derecha de inicio súbito.,Otorrinolaringología
Manifiesta tengo tos de perro con flema hace una semana.,Neumología
Presenta migraña con aura y dice que siento hormigueo en medio cuerpo.,Neurología
"Me arde para orinar y voy a cada rato, acompañado de tengo un dolor en el riñón que me dobla.",Urología
Se queja de se está hinchando todo y no respira constante.,Emergencias
"Me sangran las encías al cepillarme, sumado a tengo mal aliento.",Odontología
Tengo dolor testicular agudo de inicio súbito.,Urología
Indica tener escucho voces que nadie más oye desde hace 3 días.,Psiquiatría
"Se me regresa la comida agria, acompañado de estoy vomitando sangre.",Gastroenterología
Hay presencia de me sangran las encías al cepillarme intermitente.,Odontología
Ayúdeme con alucinaciones auditivas hace una semana.,Psiquiatría
"El guagua está hirviendo en fiebre, también refiere el nene no para de llorar.",Pediatría
Acude por presentar ánimo depresivo persistente intermitente.,Psiquiatría
Presento edema angioneurótico constante.,Alergología
Ayúdeme con se cortó feo y sale mucha sangre de inicio súbito.,Emergencias
Se queja de vértigo posicional constante.,Otorrinolaringología
Ayúdeme con estoy aventado intermitente.,Gastroenterología
Indica tener tos ferina de inicio súbito.,Pediatría
Indica tener distensión abdominal desde hace 3 días.,Gastroenterología
"Hematemesis, también refiere ictericia marcada.",Gastroenterología
Indica tener edema en miembros inferiores intermitente.,Cardiología
Paciente refiere que disminución de la agudeza visual desde hace 3 días.,Oftalmología
"Edema angioneurótico, sumado a reacción a medicamentos.",Alergología
Paciente refiere que dermatitis de contacto intermitente.,Alergología
Tengo problemas de potencia sexual y siente me arde para orinar y voy a cada rato.,Urología
Dismenorrea incapacitante con mastalgia cíclica.,Ginecología
Siento que ictericia marcada que no pasa.,Gastroenterología
Indica tener tengo problemas de potencia sexual intermitente.,Urología
Me da me duele todo el cuerpo hace una semana.,Medicina General
Estoy orinando sangre con me duele mucho un testículo.,Urología
"Me salió alergia por tocar algo, acompañado de paso estornudando todo el día.",Alergología
Hay presencia de dermatitis atópica de inicio súbito.,Dermatología
Desde ayer tengo escucho voces que nadie más oye de inicio súbito.,Psiquiatría
"Disfagia progresiva, acompañado de hemorragia digestiva oculta.",Oncología
Tengo tengo mucha sed y orino bastante que no pasa.,Endocrinología
Tengo pirexia no cuantificada desde esta mañana.,Pediatría
"Doctor, tengo estoy orinando sangre desde esta mañana.",Urología
Me da crisis de ansiedad generalizada desde hace 3 días.,Psiquiatría
Indica tener amanezco tieso hace una semana.,Reumatología
Indica tener me duele todo el cuerpo desde hace 3 días.,Medicina General
Tengo el ojo rojo como tomate y además estoy viendo doble.,Oftalmología
Se queja de tengo un dolorcito de cabeza que no pasa.,Medicina General
Ayúdeme con me duele toda la cabeza como si tuviera una vincha desde esta mañana.,Neurología
Tengo herida cortopunzante profusa desde esta mañana.,Emergencias
Desde ayer tengo estoy tosiendo sangre de inicio súbito.,Neumología
Sangrado uterino anormal con prurito vulvar.,Ginecología
Acude por presentar me punza la espalda al respirar constante.,Neumología
Ayúdeme con ya no hago del baño como antes desde hace 3 días.,Oncología
Tengo me estoy secando de lo flaco intermitente.,Oncología
Manifiesta sudo demasiado sin hacer nada que no pasa.,Endocrinología
Se queja de la luz me molesta muchísimo intermitente.,Oftalmología
Alucinaciones auditivas y además ideación suicida.,Psiquiatría
Acude por presentar mastalgia cíclica constante.,Ginecología
Hay presencia de ya no veo bien las letras de lejos hace una semana.,Oftalmología
Amanecí con los ojos hinchados con me duele la espalda baja a los lados.,Nefrología
Indica tener me estoy secando de lo flaco que no pasa.,Oncología
Ayúdeme con quemadura de segundo grado hace una semana.,Emergencias
Paciente refiere que cefalea tensional holocraneal de inicio súbito.,Neurología
Presento se me ponen los dedos blancos con el frío hace una semana.,Reumatología
Desde ayer tengo intolerancia a la vía oral de inicio súbito.,Pediatría
Desde ayer tengo me duelen todas las uniones constante.,Reumatología
Indica tener me duelen las coyunturas al despertar hace una semana.,Reumatología
Paciente refiere que dispepsia funcional constante.,Gastroenterología
Presento me duele la muela horrible desde esta mañana.,Odontología
Me da sangrado uterino anormal constante.,Ginecología
Presenta angina de pecho estable y dice que me hinca el corazón.,Cardiología
